Section,Category,Example
Tools,Desktop computers,
Tools,Laser printers,Computer laser printers
Tools,Mainframe computers,
Tools,Notebook computers,Laptop computers
Tools,Personal computers,
Tools,Plotter printers,Plotters
Tools,Scanners,Computer data input scanners
