Section,Category,Example
Tools,Desktop computers,
Tools,High capacity removable media drives,Universal serial bus USB flash drives
Tools,Liquid crystal display projector,Liquid crystal display LCD video projectors
Tools,Notebook computers,Laptop computers
Tools,Personal computers,
