Section,Category,Example
Tools,Computer servers,Cloud computing servers
Tools,Computer servers,Content servers
Tools,Hard disk drives,Computer hard disk drives
Tools,Magneto optical MO drives,Magneto optical drives
Tools,Scanners,
Tools,Tape arrays,Tape libraries
