Section,Category,Example
Tools,Desktop computers,
Tools,Laser fax machine,Laser facsimile machines
Tools,Notebook computers,Laptop computers
Tools,Personal computers,
Tools,Personal digital assistant PDAs or organizers,Personal digital assistants PDA
Tools,Photocopiers,Photocopying equipment
Tools,Portable data input terminals,Handheld computers
Tools,Scanners,Computer data input scanners
Tools,Special purpose telephones,Multi-line telephone systems
Tools,Tablet computers,
